Rank,Model,Accuracy,Precision,Recall,F1-Score
1,Voting Classifier,87.07%,76.47%,27.66%,40.62%
2,Logistic Regression,86.73%,75.00%,25.53%,38.10%
3,XGBoost,86.39%,66.67%,29.79%,41.18%
4,SVM (RBF),85.71%,72.73%,17.02%,27.59%
5,Gradient Descent,85.03%,54.29%,40.43%,46.34%
6,Decision Tree,84.35%,51.35%,40.43%,45.24%
7,Tuned Random Forest,84.35%,53.85%,14.89%,23.33%
8,K-NN (k=5),84.01%,50.00%,12.77%,20.34%
9,K-NN Weighted,84.01%,50.00%,12.77%,20.34%
10,Naive Bayes,84.01%,50.00%,29.79%,37.33%
11,Random Forest,84.01%,50.00%,17.02%,25.40%
12,K-Means,84.01%,0.00%,0.00%,0.00%
